FoodID,FoodName,Cuisine
1,Masala Karela Recipe,Indian
2,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Indian
3,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Indian
4,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Indian
5,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Italian Recipes
6,Chinese Darsaan Recipe With Ice Cream,Chinese
7,Dalia Pakora Recipe - Dalia Pakora Recipe,Indian
8,Spicy Chilli Garlic Noodles Recipe,Asian
9,Cheesy Garlic Broccoli Nuggets Recipe,Indian
10,Singapore Style Chicken Layered Fried Rice Recipe,Asian
11,Tofu Pulao Recipe,Indian
12,Radish Soup Recipe,Indian
13,Crunchy Ginger Capsicum Rice Recipe,Indian
14,Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),Chinese
15,Elephant Yam Raita (Recipe In Hindi),Indian
16,Spicy Lemon Chicken Kebab Recipe,Indian
17,Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian
18,Cheese Stuffed Aloo Bonda Recipe,Indian
19,Pudina Mushroom And Soya Biryani Recipe,Indian
20,PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,Asian
21,Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian
22,Cauliflower Matar Bhurji (Recipe in Hindi),Indian
23,Aromatic Vegetable Pulao Recipe,Indian
24,Spicy Curd Recipe - Spicy Curd With Onions,Indian
25,Mustard Vegetable Curry Recipe,Indian
26,One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian
27,Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian
28,Vegetable Fried Brown Rice Recipe,Chinese
29,Crispy Chicken Dumplings Recipe,Indian
30,Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian
31,Aloo Matar Masala Khichdi Recipe,Indian
32,Rock Toast Recipe - Semolina Bread Toast,Indian
33,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian
34,Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian
35,Royal Bread Gulab Jamun Recipe,Indian
36,Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian
37,Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,Indian
38,Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,Indian
39,Nellikai Oorugai / Amla Sambhario Recipe (Instant Gooseberry Piccile Recipe),Indian
40,Kaju Badam Ladoo Recipe,Indian
41,Spaghetti Aglio Olio With Parmesan & Greens Recipe,Italian Recipes
42,Mushroom Dumpling Recipe With Potatoes (Momos),Asian
43,Banana Pomegranate Raita Recipe - Kela Anar Raita,Indian
44,Dhania Wale Aloo Recipe - Coriander Potato Dry,Indian
45,Tender Coconut Ice Cream Recipe,Indian
46,Milk Powder Chena Burfi Recipe,Indian
47,Carrot Orange Walnut Raita (Fruity Nutty Yogurt) Recipe,Indian
48,Bamboo Shoot Stir Fry Recipe,Asian
49,Till Wale Aloo Recipe - Sesame Potato Sabzi,Indian
50,Spirulina and Mint Basil Pesto Pasta Recipe,Italian Recipes
51,"Til Moongphali Aur Kundru Sabzi Recipe - Sesame, Peanuts And Ivy Gourd Stir Fry",Indian
52,Leftover Roti Cutlet Recipe,Indian
53,Asian Style Baby Corn With Sesame Seeds and Peanut Sauce Recipe,Asian
54,Sprouted Moong And Onion Fritters Recipe,Indian
55,Corn only quiche recipe,Indian
56,Masala Cornflakes Chicken Recipe,Indian
57,One Pot Methi Mushroom Brown Rice Pulao Recipe,Indian
